Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  10.0.11.1               -   5000.0003.0000  ARPA   GigabitEthernet0/0
Internet  10.0.11.2              70   5000.0001.0000  ARPA   GigabitEthernet0/0
Internet  10.0.12.1               -   5000.0003.0003  ARPA   GigabitEthernet0/3
Internet  10.0.12.2              75   5000.0002.0003  ARPA   GigabitEthernet0/3
Internet  10.1.1.1                -   5000.0003.800a  ARPA   Vlan10
Internet  10.1.1.10               0   0050.7966.6804  ARPA   Vlan10
Internet  10.2.2.1                -   5000.0003.8014  ARPA   Vlan20
Internet  192.168.1.10            -   5000.0003.83e7  ARPA   Vlan999
Internet  192.168.1.11           87   5000.0001.0003  ARPA   Vlan999
Internet  192.168.1.12           83   5000.0002.0002  ARPA   Vlan999
Internet  192.168.1.13           63   5000.0006.0003  ARPA   Vlan999
Internet  192.168.1.14           86   5000.0007.0003  ARPA   Vlan999
Internet  192.168.1.100           0   000c.2901.30df  ARPA   Vlan999
